<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,D,20190103,000000,186.3700000,191.5000000,186.0000000,186.9900000,40105780
SBER,D,20190104,000000,187.9900000,190.9900000,187.7700000,190.9900000,32537090
SBER,D,20190108,000000,191.6600000,193.1800000,190.3700000,191.2400000,38581950
SBER,D,20190109,000000,192.7100000,197.0000000,192.1000000,197.0000000,70633230
SBER,D,20190110,000000,196.3000000,197.6400000,195.0300000,196.7500000,56211650
SBER,D,20190111,000000,197.1300000,198.9600000,195.6100000,196.8000000,63643670
SBER,D,20190114,000000,195.6800000,197.4400000,194.0000000,196.8000000,44643520
SBER,D,20190115,000000,197.3900000,198.8400000,195.9100000,198.0000000,52994790
SBER,D,20190116,000000,198.6400000,201.3000000,198.0200000,201.2600000,62392390
SBER,D,20190117,000000,201.6700000,203.5500000,201.0500000,203.3200000,59827610
SBER,D,20190118,000000,204.6000000,208.4400000,203.8300000,208.4400000,74159420
SBER,D,20190121,000000,208.9200000,210.2000000,207.1700000,207.1700000,55401630
SBER,D,20190122,000000,206.6500000,208.8800000,205.6300000,207.9500000,51269620
SBER,D,20190123,000000,207.7500000,212.0000000,207.5200000,210.4000000,79629180
SBER,D,20190124,000000,210.4000000,213.4300000,208.5500000,212.2000000,78312890
SBER,D,20190125,000000,212.7700000,214.1400000,211.0100000,212.0000000,58500020
SBER,D,20190128,000000,212.0000000,213.3000000,207.6300000,209.7000000,56384930
SBER,D,20190129,000000,209.7100000,214.4900000,206.9100000,213.6100000,63896190
SBER,D,20190130,000000,213.8000000,215.7000000,212.2200000,213.1400000,59281660
SBER,D,20190131,000000,215.1700000,218.1000000,214.6700000,217.9000000,80129070
SBER,D,20190201,000000,217.9900000,218.7000000,215.0100000,216.2900000,55398450
SBER,D,20190204,000000,216.2500000,217.1400000,215.0600000,215.5000000,40874530
SBER,D,20190205,000000,216.0000000,218.5500000,214.6100000,217.8500000,46589060
SBER,D,20190206,000000,217.9200000,218.1500000,215.4100000,216.5900000,46139530
SBER,D,20190207,000000,216.0000000,216.6500000,210.6000000,211.0100000,69155220
SBER,D,20190208,000000,209.9900000,211.9300000,208.7000000,210.4300000,51480680
SBER,D,20190211,000000,211.0000000,214.7200000,210.8000000,214.0000000,49597150
SBER,D,20190212,000000,214.7300000,219.4500000,214.6000000,219.1000000,73524360
SBER,D,20190213,000000,219.6000000,220.7000000,213.1000000,213.9000000,85042730
SBER,D,20190214,000000,208.5000000,209.8500000,201.7000000,204.4300000,154867810
SBER,D,20190215,000000,205.9400000,209.0000000,205.5200000,208.0000000,78872640
SBER,D,20190218,000000,208.7000000,209.7300000,203.2000000,204.1900000,76368650
SBER,D,20190219,000000,203.6000000,205.6000000,201.1000000,202.0800000,66628330
SBER,D,20190220,000000,203.9000000,206.8900000,203.2300000,206.8900000,66614210
SBER,D,20190221,000000,207.5600000,207.8700000,202.3000000,203.4100000,68058950
SBER,D,20190222,000000,203.6200000,206.1000000,203.0300000,205.2500000,45737340
SBER,D,20190225,000000,205.5000000,208.6000000,204.2000000,205.8600000,70760670
SBER,D,20190226,000000,204.8000000,205.8000000,202.9000000,205.8000000,50742950
SBER,D,20190227,000000,206.0600000,206.9000000,203.9000000,205.4000000,54017660
SBER,D,20190228,000000,205.0000000,208.8900000,204.1600000,207.8000000,62293690
SBER,D,20190301,000000,208.4400000,209.0000000,206.1000000,206.5400000,46000050
SBER,D,20190304,000000,207.0200000,207.5000000,205.2500000,205.5000000,31471880
SBER,D,20190305,000000,204.8400000,204.9000000,202.2500000,202.9200000,46296020
SBER,D,20190306,000000,202.8900000,205.7000000,202.6000000,205.0000000,52926540
SBER,D,20190307,000000,205.1000000,206.6700000,203.5000000,203.9500000,46053890
SBER,D,20190311,000000,203.2000000,205.6000000,202.5600000,205.2500000,42374840
SBER,D,20190312,000000,206.5000000,206.8900000,204.4000000,205.1000000,42016460
SBER,D,20190313,000000,204.6900000,206.0000000,203.8000000,206.0000000,28504220
SBER,D,20190314,000000,205.6000000,206.3800000,203.5000000,203.6600000,43825330
